Date,Calgary,Central,Edmonton,NorthEast,NorthWest,South,,,,,,
1/1/2019 12:00:00 AM,729,0,0,0,0,0,,,,,,
1/1/2019 1:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 2:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 3:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 4:00:00 AM,731,0,0,0,0,0,,,,,, 
1/1/2019 5:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 6:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 7:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 8:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 9:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 10:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/1/2019 12:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 1:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 2:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 3:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 4:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 8:00:00 PM,731,0,0,0,0,0,,,,,,
1/1/2019 9:00:00 PM,727,0,0,0,0,0,,,,,,
1/1/2019 10:00:00 PM,727,0,0,0,0,0,,,,,,
1/1/2019 11:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 12:00:00 AM,729,0,0,0,0,0,,,,,,
1/2/2019 1:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 2:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 3:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 4:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 5:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 6:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 7:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 8:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 9:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 10:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/2/2019 12:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 1:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 2:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 3:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 4:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 8:00:00 PM,731,0,0,0,0,0,,,,,,
1/2/2019 9:00:00 PM,727,0,0,0,0,0,,,,,,
1/2/2019 10:00:00 PM,727,0,0,0,0,0,,,,,,
1/2/2019 11:00:00 PM,731,0,0,0,0,0,,,,,,
1/3/2019 12:00:00 AM,729,0,0,0,0,0,,,,,,
1/3/2019 1:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 2:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 3:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 4:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 5:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 6:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 7:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 8:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 9:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 10:00:00 AM,731,0,0,0,0,0,,,,,,
1/3/2019 11:00:00 AM,730,0,0,0,0,0,,,,,,
1/3/2019 12:00:00 PM,731,0,0,0,0,0,,,,,,
1/3/2019 1:00:00 PM,731,0,0,0,0,0,,,,,,
1/3/2019 2:00:00 PM,731,0,0,0,0,0,,,,,,
1/3/2019 3:00:00 PM,731,0,0,0,0,0,,,,,,
